FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TOPG,VI,ORTG,DRTG,RTG
Rajon Rondo,Lakers,G,36.11,18,16.1,2,0.5,41,0.366,30,0.267,0.38,0.383,3.1,2.7,3.7,0.67,0.28,1.89,7.8,84.1,107.6,75
Rajon Rondo,Cavs,G,36.11,18,20,24,0.75,46,0.478,52,0.385,0.531,0.562,6.8,2.9,4.5,0.89,0.06,1.61,8.9,111.7,104.2,75
Derrick Rose,Knicks,G,33.5,26,24.5,31,0.968,182,0.467,92,0.402,0.513,0.541,12,3,4,0.85,0.46,1.5,8.6,112.4,113,
Terrence Ross,Magic,G-F,31.16,63,23,130,0.862,290,0.493,264,0.292,0.467,0.515,10,2.6,1.8,0.44,0.19,1.19,6.3,100.1,113.3,
Terry Rozier,Hornets,G,28.05,69,33.9,173,0.85,539,0.506,565,0.377,0.537,0.564,19.3,4.3,4.4,1.33,0.35,1.35,8.4,115.9,113.1,
Ricky Rubio,Cavs,G,31.45,34,28.5,103,0.854,237,0.38,174,0.339,0.434,0.488,13.1,4.1,6.6,1.44,0.21,2.65,9.9,102.3,103.1,
D'Angelo Russell,Timberwolves,G,26.11,64,32,238,0.828,449,0.49,512,0.34,0.501,0.544,18.1,3.3,7,0.97,0.34,2.55,9.3,112.2,111.3,
Domantas Sabonis,Pacers,F-C,25.92,47,34.7,258,0.74,463,0.639,108,0.324,0.61,0.649,18.9,12.1,5,0.98,0.47,3.04,12.1,123.3,106.7,
Domantas Sabonis,Kings,F-C,25.92,15,33.6,74,0.743,185,0.584,17,0.235,0.564,0.603,18.9,12.3,5.8,0.87,0.33,3.47,13.2,115.5,103,
Olivier Sarr,Thunder,C,23.12,21,18.2,25,0.8,66,0.636,27,0.481,0.661,0.688,6.8,3.9,0.9,0.29,0.62,1,6.3,123.6,102.1,67
Tomas Satoransky,Pelicans,G,30.43,32,15,25,0.76,76,0.355,31,0.161,0.322,0.373,2.8,2,2.4,0.44,0.03,0.72,6.3,95.1,109.8,73
Tomas Satoransky,Wizards,G,30.43,18,18.3,25,0.84,47,0.511,16,0.25,0.476,0.547,4.5,2.8,4.4,0.78,0.22,0.89,8.3,122.8,106.7,73
Jordan Schakel,Wizards,G,23.81,2,7.1,0,0,3,0,3,0,0,0,0,1.5,0,0,0,0,0,29.2,121.7,
Admiral Schofield,Magic,F,25.01,36,11.9,13,0.769,45,0.6,69,0.319,0.526,0.543,3.6,2.2,0.7,0.11,0.14,0.53,5.9,103.6,103.2,
Dennis Schroder,Celtics,G,28.55,49,29.2,145,0.848,392,0.485,192,0.349,0.497,0.543,14.4,3.3,4.2,0.84,0.1,2.12,8,108,103.4,
